,article_source,article_post_date_type,article_title,article_url,article_claim
59,Donald Trump,"stated on April 6, 2020 in a White House briefing:",The Obama administration left Trump with a “stockpile with a cupboard that was bare.”,/factchecks/2020/apr/08/donald-trump/trump-said-obama-admin-left-him-bare-stockpile-wro/,barely-true
60,Viral image,"stated on March 31, 2020 in a Facebook post:","“If you’ve let somebody claim your kids for income tax purposes, you will not receive a stimulus check. The person who claimed your kids is gonna get it.”",/factchecks/2020/apr/08/viral-image/whos-eligible-receive-stimulus-aid-dependent-child/,half-true
61,Viral image,"stated on April 2, 2020 in a Facebook post:",Says video shows “the Chinese are destroying the 5G poles as they are aware that it is the thing triggering the corona symptoms.”,/factchecks/2020/apr/07/viral-image/no-video-doesnt-show-people-china-destroying-5g-po/,false
62,Facebook posts,"stated on April 2, 2020 in a Facebook post:",Says Goodwill used the pandemic “to fire all of their employees instead of laying them off.”,/factchecks/2020/apr/07/facebook-posts/some-goodwill-employees-have-been-laid-and-furloug/,false
63,Viral image,"stated on April 6, 2020 in a Facebook post:",Says Queen Elizabeth said Philippine President Rodrigo Duterte “is the kind of leader who knows the way .... Filipinos are very lucky to have him.”,/factchecks/2020/apr/07/viral-image/no-queen-elizabeth-didnt-praise-philippine-preside/,pants-fire
64,Charlie Kirk,"stated on April 3, 2020 in a tweet:",“The Chinese Communist Party is using Zoom as a way to spy on our citizens.”,/factchecks/2020/apr/07/charlie-kirk/china-spying-you-through-zoom-charlie-kirk-oversta/,barely-true
65,Viral image,"stated on April 2, 2020 in a Facebook post:",Photo shows a crowded New York City subway train during stay-at-home order.,/factchecks/2020/apr/07/viral-image/image-overcrowded-nyc-subway-car-real/,true
66,David Lewis,"stated on March 26, 2020 in a tweet:",“Pelosi tried to block voter ID/absentee ballot protections.”,/factchecks/2020/apr/07/david-lewis/nc-republican-says-pelosi-tried-block-voter-id-abs/,half-true
67,Donald Trump,"stated on April 1, 2020 in in a White House briefing:","“Now, they’re doing tests on airlines — very strong tests — for getting on, getting off. They’re doing tests on trains — getting on, getting off.”",/factchecks/2020/apr/06/donald-trump/donald-trump-wrong-about-covid-19-testing-airplane/,pants-fire
68,Viral image,"stated on April 2, 2020 in a Facebook post:",“Rivers in Oklahoma are full of catfish carrying the virus.”,/factchecks/2020/apr/06/viral-image/dont-fall-fake-news-report-about-coronavirus-infec/,false
69,Bloggers,"stated on April 5, 2020 in a fake news article:",Says the NBA is asking Donald Trump to “resign or we’ll never play again.”,/factchecks/2020/apr/06/blog-posting/fake-news-website-republishes-satirical-story-abou/,pants-fire
70,Facebook posts,"stated on March 29, 2020 in a Facebook post:","“Unemployment now pays $24/hour, even if your wages were lower. Why don’t ‘essential’ people forced to still work get $24, too?”",/factchecks/2020/apr/06/facebook-posts/big-boost-unemployment-checks-no-pay-hike-workers/,half-true
71,Facebook posts,"stated on April 2, 2020 in a Facebook post:",Says Nostradamus predicted the coronavirus in a 1551 passage about a plague spreading from the east.,/factchecks/2020/apr/06/facebook-posts/no-evidence-nostradamus-predicted-novel-coronaviru/,false
72,Facebook posts,"stated on March 16, 2020 in a Facebook post:","The government is closing businesses to stop the spread of coronavirus even though ""the numbers are nothing compared to H1N1 or Ebola. Everyone needs to realize our government is up to something ...”",/factchecks/2020/apr/06/facebook-posts/fact-checking-viral-pa-facebook-post-coronavirus-s/,pants-fire
73,Bloggers,"stated on April 3, 2020 in a blog post:",“Joe Exotic tests positive for coronavirus in prison. It’s been confirmed.”,/factchecks/2020/apr/03/blog-posting/it-has-not-been-confirmed-joe-exotic-has-covid-19/,false
74,Facebook posts,"stated on March 28, 2020 in a post:",Says a “5G LAW PASSED while everyone was distracted” with the coronavirus pandemic and lists 20 symptoms associated with 5G exposure.,/factchecks/2020/apr/03/facebook-posts/fact-checking-conspiracy-theory-about-5g-and-coron/,barely-true
